title,address,recommended_units,review_score,final_price
Apart Hotel B,"Recoleta, Santiago (Bellavista)","Standard Apartment - Double Bed
Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 215 ft²
1 queen bed
Breakfast included
Only 6 left at this price on our site","Scored 8.4
8.4
Very Good
687 reviews",$55
Hotel Magnolia Santiago,"Downtown Santiago, Santiago (Bellas Artes)","Deluxe Double Room
1 king bed
Breakfast included
Only 5 rooms left at this price on our site","Scored 9.2
9.2
Wonderful
937 reviews",$319
Holiday Inn Santiago - Airport Terminal by IHG,"Pudahuel, Santiago","Standard King Room
1 king bed
Only 6 rooms left at this price on our site","Scored 8.4
8.4
Very Good
8,737 reviews",$168
The Place,"Las Condes, Santiago","Studio with Terrace
Entire studio • 1 bathroom • 1 kitchen • 398 ft²
1 king bed
Free cancellation
No prepayment needed – pay at the property
Only 4 left at this price on our site","Scored 9.1
9.1
Wonderful
2,583 reviews",$111
Novotel Santiago Las Condes,"Las Condes, Santiago (Nueva Las Condes)","Standard Queen Room with Two Queen Beds
2 queen beds","Scored 8.7
8.7
Excellent
3,156 reviews",$108
Hotel Brasilia,"Downtown Santiago, Santiago (Barrio Brasil)","Junior Suite Double or Twin
Beds: 1 double or 2 twins
Breakfast included
Free cancellation
No prepayment needed – pay at the property","Scored 7.8
7.8
Good
5,002 reviews",$59
Courtyard by Marriott Santiago Airport,"Pudahuel, Santiago","King Room
1 king bed
Breakfast included","Scored 8.2
8.2
Very Good
2,450 reviews",$139
Hotel Guayaquil,"Downtown Santiago, Santiago","Double Room with Private Bathroom
1 queen bed
Free cancellation
No prepayment needed – pay at the property","Scored 7.2
7.2
Good
1,484 reviews",$29
"Mandarin Oriental, Santiago","Las Condes, Santiago (Nueva Las Condes)","Deluxe Room Twin
2 twin beds
Free cancellation
No prepayment needed – pay at the property
Only 6 rooms left at this price on our site","Scored 9.1
9.1
Wonderful
1,354 reviews",$280
Icon Hotel,"Las Condes, Santiago (Nueva Las Condes)","Deluxe Twin Room
2 twin beds
Free cancellation
No prepayment needed – pay at the property","Scored 8.6
8.6
Excellent
3,480 reviews",$161
hUB Providencia,"Providencia, Santiago","Studio
Entire studio • 1 bathroom • 1 kitchen • 280 ft²
1 full bed
Only 5 left at this price on our site","Scored 8.3
8.3
Very Good
3,077 reviews",$103
Pullman Santiago El Bosque,"Las Condes, Santiago","Superior Queen Room with Two Queen Beds
2 queen beds","Scored 9.1
9.1
Wonderful
1,825 reviews",$98
ibis budget Santiago Providencia,"Providencia, Santiago","Standard Room
2 beds (1 twin, 1 full)","Scored 8.0
8.0
Very Good
5,286 reviews",$67
ibis Santiago Providencia,"Providencia, Santiago","Queen Room with extra bed
2 beds (1 twin, 1 queen)","Scored 7.4
7.4
Good
3,614 reviews",$61
"Ola Santiago Providencia, Tapestry Collection by Hilton","Providencia, Santiago","King Room
1 king bed","Scored 8.9
8.9
Excellent
2,945 reviews",$109
"DoubleTree by Hilton Santiago Kennedy, Chile","Vitacura, Santiago","Twin Room
2 twin beds
Free cancellation
No prepayment needed – pay at the property","Scored 8.7
8.7
Excellent
2,933 reviews",$150
Best Western Premier Marina Las Condes,"Las Condes, Santiago (Nueva Las Condes)","King Room
1 king bed
Breakfast included
Free cancellation
No prepayment needed – pay at the property","Scored 8.8
8.8
Excellent
5,250 reviews",$350
Hotel Cumbres Lastarria,"Downtown Santiago, Santiago (Lastarria)","Standard Double Room
1 queen bed
Breakfast included","Scored 8.9
8.9
Excellent
1,351 reviews",$145
Pullman Santiago Vitacura,"Vitacura, Santiago","Superior Queen Room with Two Queen Beds
2 queen beds","Scored 8.9
8.9
Excellent
1,900 reviews",$133
Novapark,"Downtown Santiago, Santiago","Twin Room
2 twin beds
Breakfast included","Scored 8.4
8.4
Very Good
3,778 reviews",$79
Hilton Garden Inn Santiago Airport,"Pudahuel, Santiago","King Room
1 king bed
Free cancellation
No prepayment needed – pay at the property","Scored 8.5
8.5
Very Good
3,405 reviews",$127
City Express by Marriott Santiago Aeropuerto,"Pudahuel, Santiago","Queen Room
1 queen bed
Breakfast included
Free cancellation
No prepayment needed – pay at the property","Scored 8.3
8.3
Very Good
5,751 reviews",$140
NH Ciudad de Santiago,"Providencia, Santiago","Standard double room New Style
1 king bed
Free cancellation
No prepayment needed – pay at the property
Only 5 rooms left at this price on our site","Scored 8.6
8.6
Excellent
2,300 reviews",$99
Verde Madera Hostel B&B,"Nunoa, Santiago","Twin Room with Shared Bathroom
2 twin beds
Breakfast included
Free cancellation
No prepayment needed – pay at the property","Scored 8.4
8.4
Very Good
2,410 reviews",$51
AC Hotel by Marriott Santiago Cenco Costanera,"Providencia, Santiago","Guest room, 2 Double
2 queen beds
Only 5 rooms left at this price on our site","Scored 9.1
9.1
Wonderful
1,603 reviews",$135
Plaza El Bosque Ebro,"Las Condes, Santiago","Standard King Room
1 king bed
Breakfast included
Only 3 rooms left at this price on our site","Scored 8.4
8.4
Very Good
3,874 reviews",$153
Hotel Fundador,"Downtown Santiago, Santiago","Small Double Room
1 full bed
Breakfast included","Scored 8.0
8.0
Very Good
2,255 reviews",$74
Holiday Inn Express Santiago Las Condes by IHG,"Las Condes, Santiago","Standard King Room
1 king bed
Breakfast included
Only 6 rooms left at this price on our site","Scored 8.7
8.7
Excellent
3,345 reviews",$101
Novotel Santiago Providencia,"Providencia, Santiago","Superior Twin Room
2 twin beds","Scored 8.8
8.8
Excellent
2,529 reviews",$99
ibis Santiago Las Condes,"Las Condes, Santiago (Nueva Las Condes)","Superior Plug & Play Room with Queen Size Bed
1 queen bed","Scored 7.6
7.6
Good
5,008 reviews",$80
Almasur Providencia,"Providencia, Santiago","Double Room - Disability Access
1 full bed
Free cancellation
Only 1 room left at this price on our site","Scored 9.2
9.2
Wonderful
4,366 reviews",$123
Mercure Santiago Centro,"Downtown Santiago, Santiago","Classic Twin Room
2 queen beds","Scored 8.0
8.0
Very Good
3,007 reviews",$60
Radisson Blu Plaza El Bosque Santiago,"Las Condes, Santiago (Nueva Las Condes)","King Room - Non-Smoking
1 king bed
Breakfast included","Scored 8.5
8.5
Very Good
7,377 reviews",$180
Hotel Plaza San Francisco,"Downtown Santiago, Santiago","Standard Twin Room
2 twin beds
Breakfast included","Scored 8.8
8.8
Excellent
2,411 reviews",$185
Courtyard by Marriott Santiago Las Condes,"Las Condes, Santiago (Nueva Las Condes)","King Room with City View
1 king bed
Only 5 rooms left at this price on our site","Scored 8.8
8.8
Excellent
1,583 reviews",$143
Sheraton Santiago Hotel & Convention Center,"Providencia, Santiago","Classic Room, Guest room, 1 King, City view
1 king bed","Scored 8.1
8.1
Very Good
1,963 reviews",$152
Hotel Regal Pacific Santiago,"Las Condes, Santiago (Nueva Las Condes)","Standard King Room
1 king bed
Breakfast included","Scored 9.0
9.0
Wonderful
2,829 reviews",$151
Nobile Hotel Estación Central,Santiago,"Superior Queen Room
1 queen bed
Breakfast included","Scored 8.6
8.6
Excellent
6,687 reviews",$70
