title,address,recommended_units,review_score,final_price
Pousada Dom Xavier,Tiradentes,"Quarto com Cama Queen-Size e Varanda
1 cama de casal grande
Café da manhã incluído
Restam 7 quartos por esse preço no nosso site","Com nota 8,8
8,8
Fabuloso
947 avaliações",R$ 394
Pousada Richard Rothe,"Tiradentes Old Town, Tiradentes (Tiradentes Old Town)","Quarto Duplo Econômico
1 cama de casal
Café da manhã incluído
Restam 2 quartos por esse preço no nosso site","Com nota 9,0
9,0
Fantástico
1.420 avaliações",R$ 406
Pousada Encanto da Serra,"Tiradentes Old Town, Tiradentes (Tiradentes Old Town)","Quarto Duplo Standard
1 cama de casal
Café da manhã incluído
Restam 4 quartos por esse preço no nosso site","Com nota 9,4
9,4
Fantástico
1.326 avaliações",R$ 354
Pousada Minas Goiás,Tiradentes,"Quarto Econômico com Cama de Casal ou 2 de Solteiro
2 camas (1 de solteiro, 1 de casal)
Café da manhã incluído
Restam 5 quartos por esse preço no nosso site","Com nota 8,6
8,6
Fabuloso
225 avaliações",R$ 350
Pousada Berço da Liberdade,Tiradentes,"Quarto Triplo com Ar-condicionado
2 camas (1 de solteiro, 1 de casal)
Café da manhã incluído
Resta 1 quarto por esse preço no nosso site","Com nota 8,5
8,5
Muito bom
1.048 avaliações",R$ 480
Pousada Tesouro de Minas - Centro Histórico,"Tiradentes Old Town, Tiradentes (Tiradentes Old Town)","Quarto Duplo
1 cama de casal
Café da manhã incluído
Restam 4 quartos por esse preço no nosso site","Com nota 8,1
8,1
Muito bom
1.056 avaliações",R$ 210
Arraial Velho Pousada Tematica,Tiradentes,"Quarto Duplo Pequeno
1 cama de casal
Café da manhã incluído
Restam 2 quartos por esse preço no nosso site","Com nota 8,9
8,9
Fabuloso
784 avaliações",R$ 269
Pousada das Artes,"Tiradentes Old Town, Tiradentes (Tiradentes Old Town)","Quarto Duplo Standard
1 cama de casal grande
Café da manhã incluído
Restam 4 quartos por esse preço no nosso site","Com nota 9,4
9,4
Fantástico
397 avaliações",R$ 290
Tiradentes Pousada Ramalhete,Tiradentes,"Quarto Standard com Cama Queen-size
1 cama de casal grande
Café da manhã incluído
Restam 2 quartos por esse preço no nosso site","Com nota 9,1
9,1
Fantástico
1.096 avaliações",R$ 290
Pousada Vó Iris - Tiradentes Mg,Tiradentes,"Quarto Duplo Standard
1 cama de casal grande
Café da manhã incluído
Restam 2 quartos por esse preço no nosso site","Com nota 8,7
8,7
Fabuloso
263 avaliações",R$ 390
Pousada Solar da Imperatriz,"Tiradentes Old Town, Tiradentes (Tiradentes Old Town)","Quarto Deluxe com Cama de Casal ou 2 de Solteiro
Diversos tipos de cama
Café da manhã incluído
Restam 3 quartos por esse preço no nosso site","Com nota 9,0
9,0
Fantástico
489 avaliações",R$ 608
Chalés Pôr do Sol,Tiradentes,"Quarto Duplo Econômico
1 cama de casal
Café da manhã incluído
Restam 3 quartos por esse preço no nosso site","Com nota 9,5
9,5
Excepcional
697 avaliações",R$ 270
Pousada Berço Mineiro,Tiradentes,"Quarto Standard com Cama Queen-size
1 cama de casal grande
Café da manhã incluído
Resta 1 quarto por esse preço no nosso site","Com nota 9,5
9,5
Excepcional
758 avaliações",R$ 240
Pousada Toro Real,Tiradentes,"Quarto Duplo
1 cama de casal
Café da manhã incluído
Restam 3 quartos por esse preço no nosso site","Com nota 8,9
8,9
Fabuloso
579 avaliações",R$ 255
Pousada Pe da Serra,"Tiradentes Old Town, Tiradentes (Tiradentes Old Town)","Quarto Duplo Econômico
1 cama de casal
Café da manhã incluído
Resta 1 quarto por esse preço no nosso site","Com nota 8,9
8,9
Fabuloso
506 avaliações",R$ 248
Suítes da Praça Tiradentes,"Tiradentes Old Town, Tiradentes (Tiradentes Old Town)","Quarto Duplo
1 cama de casal
Restam 4 quartos por esse preço no nosso site","Com nota 8,8
8,8
Fabuloso
131 avaliações",R$ 145
Pousada Maria Monteiro Tiradentes,Tiradentes,"Quarto Duplo Standard
1 cama de casal
Café da manhã incluído
Restam 2 quartos por esse preço no nosso site","Com nota 9,1
9,1
Fantástico
378 avaliações",R$ 449
Pousada da Sirlei,Tiradentes,"Quarto Duplo com Banheiro Privativo
1 cama de casal
Café da manhã incluído
Restam 6 quartos por esse preço no nosso site","Com nota 9,3
9,3
Fantástico
416 avaliações",R$ 257
Pousada Venerando,Tiradentes,"Quarto Duplo
1 cama de casal
Café da manhã incluído
Resta 1 quarto por esse preço no nosso site","Com nota 8,5
8,5
Muito bom
412 avaliações",R$ 450
Pousada Chafariz das 4 Estações,"Tiradentes Old Town, Tiradentes (Tiradentes Old Town)","Quarto Duplo Standard
1 cama de casal grande
Café da manhã incluído","Com nota 8,1
8,1
Muito bom
489 avaliações",R$ 335
Pouso das Gerais,"Tiradentes Old Town, Tiradentes (Tiradentes Old Town)","Quarto Triplo
2 camas (1 de solteiro, 1 de casal)
Café da manhã incluído
Resta 1 quarto por esse preço no nosso site","Com nota 8,5
8,5
Muito bom
132 avaliações",R$ 298
Pousada Quinta Do Conde,Tiradentes,"Suíte Dupla Standard
1 cama de casal
Café da manhã incluído
Restam 2 quartos por esse preço no nosso site","Com nota 9,1
9,1
Fantástico
420 avaliações",R$ 390
Pouso nossa senhora das merces,Tiradentes,"Quarto Duplo
1 cama de casal
Café da manhã incluído
Resta 1 quarto por esse preço no nosso site","Com nota 8,7
8,7
Fabuloso
133 avaliações",R$ 215
Pousada Recanto das Araras,Tiradentes,"Suíte Dupla - Térreo
Suíte privativa
1 cama de casal
Café da manhã incluído
Restam 3 unidades por esse preço no nosso site","Com nota 8,9
8,9
Fabuloso
622 avaliações",R$ 347
Pousada Solar Das Gerais,Tiradentes,"Quarto Duplo Standard
1 cama de casal
Café da manhã incluído
Restam 2 quartos por esse preço no nosso site","Com nota 8,7
8,7
Fabuloso
193 avaliações",R$ 292
Pousada Varandinha,Tiradentes,"Quarto Triplo Básico
3 camas (2 de solteiro, 1 de casal)
Café da manhã incluído
Não requer pré-pagamento – pague na acomodação
Resta 1 quarto por esse preço no nosso site","Com nota 10
10
Excepcional
4 avaliações",R$ 430
Don Quixote Pousada,"Tiradentes Old Town, Tiradentes (Tiradentes Old Town)","Quarto Duplo Standard
1 cama de casal grande
Café da manhã incluído
Não requer pré-pagamento – pague na acomodação
Restam 2 quartos por esse preço no nosso site","Com nota 9,2
9,2
Fantástico
282 avaliações",R$ 465
Pousada Vovô Juca Tiradentes,"Tiradentes Old Town, Tiradentes (Tiradentes Old Town)","Quarto Duplo Standard
1 cama de casal
Café da manhã incluído
Restam 2 quartos por esse preço no nosso site","Com nota 8,6
8,6
Fabuloso
64 avaliações",R$ 280
Hotel Ponta do Morro,"Tiradentes Old Town, Tiradentes (Tiradentes Old Town)","Quarto Duplo Pequeno
1 cama de casal
Café da manhã incluído
Resta 1 quarto por esse preço no nosso site","Com nota 8,8
8,8
Fabuloso
1.153 avaliações",R$ 330
Hotel Pontal de Tiradentes,Tiradentes,"Quarto Superior com Cama Queen-size
2 camas (1 de solteiro, 1 de casal)
Café da manhã incluído","Com nota 8,5
8,5
Muito bom
584 avaliações",R$ 595
Pousada Tiradentes,"Tiradentes Old Town, Tiradentes (Tiradentes Old Town)","Suíte com Cama Queen-size
Suíte privativa
1 cama de casal grande
Café da manhã incluído
Resta 1 unidade por esse preço no nosso site","Com nota 8,6
8,6
Fabuloso
99 avaliações",R$ 380
Pedacinho do céu,Tiradentes,"Quarto Duplo
1 cama de casal
Café da manhã incluído
Restam 3 quartos por esse preço no nosso site","Com nota 9,7
9,7
Excepcional
327 avaliações",R$ 350
Trem de Pouso Rustic Guest House,"Tiradentes Old Town, Tiradentes (Tiradentes Old Town)","Quarto Triplo com Vista
2 camas (1 de solteiro, 1 de casal)
Restam 2 quartos por esse preço no nosso site","Com nota 8,2
8,2
Muito bom
135 avaliações",R$ 240
Pousada o Amanhecer,"Tiradentes Old Town, Tiradentes (Tiradentes Old Town)","Quarto com 2 Camas de Solteiro
2 camas de solteiro
Café da manhã incluído
Resta 1 quarto por esse preço no nosso site","Com nota 9,2
9,2
Fantástico
1.285 avaliações",R$ 180
Pousada Santa Edwiges,Tiradentes,"Quarto Duplo com Banheiro Privativo
1 cama de casal
Café da manhã incluído
Restam 2 quartos por esse preço no nosso site","Com nota 8,1
8,1
Muito bom
204 avaliações",R$ 300
Pousada Marília de Dirceu,Tiradentes,"Quarto Duplo - Acesso para Hóspedes com Mobilidade Reduzida
1 cama de casal grande
Café da manhã incluído
Resta 1 quarto por esse preço no nosso site","Com nota 9,4
9,4
Fantástico
628 avaliações",R$ 308
Pousada Relicário,"Tiradentes Old Town, Tiradentes (Tiradentes Old Town)","Quarto Duplo Deluxe com Varanda
1 cama de casal grande
Café da manhã incluído","Com nota 8,7
8,7
Fabuloso
531 avaliações",R$ 298
Pousada Ouro de Minas,Tiradentes,"Quarto Standard com 2 Camas de Solteiro
2 camas de solteiro
Café da manhã incluído
Restam 3 quartos por esse preço no nosso site","Com nota 9,3
9,3
Fantástico
995 avaliações",R$ 355
Pousada Bárbara Heliodora,"Tiradentes Old Town, Tiradentes (Tiradentes Old Town)","Quarto com Cama de Casal ou 2 de Solteiro e Vista da Montanha
1 cama de casal
Café da manhã incluído
Restam 5 quartos por esse preço no nosso site","Com nota 8,3
8,3
Muito bom
355 avaliações",R$ 210
Pousada Pouso de Laura,"Tiradentes Old Town, Tiradentes (Tiradentes Old Town)","Quarto Duplo
1 cama de casal grande
Café da manhã incluído
Restam 3 quartos por esse preço no nosso site","Com nota 9,7
9,7
Excepcional
189 avaliações",R$ 400
Pousada Coração Inconfidente,"Tiradentes Old Town, Tiradentes (Tiradentes Old Town)","Quarto Duplo com Cama de Casal
1 cama de casal
Café da manhã incluído
Resta 1 quarto por esse preço no nosso site","Com nota 8,2
8,2
Muito bom
79 avaliações",R$ 270
Lis Bleu Pousada,Tiradentes,"Quarto Luxo
1 cama de casal
Café da manhã incluído","Com nota 9,0
9,0
Fantástico
173 avaliações",R$ 1.101
