title,address,recommended_units,review_score,final_price
Safa Hotel Foz,Foz do Iguaçu,"Quarto Luxo com Cama de Casal
Apartamento inteiro • 1 quarto • 1 sala • 1 banheiro • 15 m²
1 cama de casal grande
Café da manhã incluído
Não requer pré-pagamento – pague na acomodação","Com nota 9,0
9,0
Fantástico
1.263 avaliações",R$ 393
Rafain Palace Hotel & Convention Center,Foz do Iguaçu,"Quarto Triplo Deluxe
Diversos tipos de cama
Café da manhã incluído","Com nota 9,0
9,0
Fantástico
2.685 avaliações",R$ 857
Dom Pedro I Palace Hotel,Foz do Iguaçu,"Quarto Duplo Superior
Camas: 1 de casal ou 2 de solteiro
Café da manhã incluído
Não requer pré-pagamento – pague na acomodação","Com nota 8,6
8,6
Fabuloso
1.890 avaliações",R$ 333
Hotel Colonial Iguaçu,Foz do Iguaçu,"Quarto Duplo Standard
Camas: 1 de casal ou 2 de solteiro
Café da manhã incluído
Restam 7 quartos por esse preço no nosso site","Com nota 8,0
8,0
Muito bom
3.058 avaliações",R$ 365
Falls Galli Hotel,Foz do Iguaçu,"Apartamento Deluxe
Apartamento inteiro • 1 quarto • 1 sala • 1 banheiro • 20 m²
2 camas de casal
Café da manhã incluído","Com nota 8,2
8,2
Muito bom
6.533 avaliações",R$ 293
Hotel Três Fronteiras,"Centro de Foz do Iguaçu, Foz do Iguaçu","Quarto Duplo
1 cama de casal grande
Café da manhã incluído","Com nota 8,0
8,0
Muito bom
1.688 avaliações",R$ 289
Continental Inn,"Centro de Foz do Iguaçu, Foz do Iguaçu","Quarto Família
2 camas de casal
Café da manhã incluído
Restam 5 quartos por esse preço no nosso site","Com nota 8,6
8,6
Fabuloso
1.799 avaliações",R$ 731
Hotel Monalisa,Foz do Iguaçu,"Quarto Duplo Standard
1 cama de casal grande
Café da manhã incluído","Com nota 8,3
8,3
Muito bom
1.288 avaliações",R$ 286
Hotel Holiday Foz,"Centro de Foz do Iguaçu, Foz do Iguaçu","Suíte Tripla
Suíte privativa
3 camas de solteiro
Café da manhã incluído
Resta 1 unidade por esse preço no nosso site","Com nota 8,3
8,3
Muito bom
2.287 avaliações",R$ 689
"Hotel das Cataratas, A Belmond Hotel, Iguassu Falls",Foz do Iguaçu,"Quarto Superior
3 camas (2 de solteiro, 1 king-size)
Café da manhã incluído
Não requer pré-pagamento – pague na acomodação","Com nota 9,6
9,6
Excepcional
1.904 avaliações",R$ 4.999
CLH Suítes Foz do Iguaçu,"Centro de Foz do Iguaçu, Foz do Iguaçu","Quarto Duplo Superior
1 cama de casal
Cancelamento grátis","Com nota 8,5
8,5
Muito bom
4.919 avaliações",R$ 108
Hotel Golden Park Internacional Foz & Convenções By Nacional Inn,"Centro de Foz do Iguaçu, Foz do Iguaçu","Quarto Standard com Cama King-size
1 cama de casal grande
Café da manhã incluído
Restam 2 quartos por esse preço no nosso site","Com nota 8,2
8,2
Muito bom
3.145 avaliações",R$ 556
Ambassador Hotel,"Centro de Foz do Iguaçu, Foz do Iguaçu","Quarto Triplo
Diversos tipos de cama
Café da manhã incluído
Cancelamento grátis
Não requer pré-pagamento – pague na acomodação
Restam 7 quartos por esse preço no nosso site","Com nota 7,5
7,5
Bom
858 avaliações",R$ 250
Sanma Hotel,Foz do Iguaçu,"Quarto Triplo Superior
2 camas (1 de solteiro, 1 de casal)
Café da manhã incluído
Restam 2 quartos por esse preço no nosso site","Com nota 9,1
9,1
Fantástico
1.707 avaliações",R$ 1.038
Viale Tower Hotel,"Centro de Foz do Iguaçu, Foz do Iguaçu","Quarto Duplo Superior com 2 Camas de Casal
2 camas de casal grandes
Café da manhã incluído","Com nota 8,7
8,7
Fabuloso
2.395 avaliações",R$ 596
Ibis Foz do Iguaçu,"Centro de Foz do Iguaçu, Foz do Iguaçu","Quarto Duplo Standard - Acesso para Hóspedes com Mobilidade Reduzida
1 cama de casal
Cancelamento grátis
Não requer pré-pagamento – pague na acomodação","Com nota 7,6
7,6
Bom
1.677 avaliações",R$ 360
Manacá Hotel,Foz do Iguaçu,"Quarto Standard com 2 Camas de Solteiro
2 camas de solteiro
Café da manhã incluído","Com nota 7,5
7,5
Bom
1.883 avaliações",R$ 247
San Rafael Comfort Class Hotel,"Centro de Foz do Iguaçu, Foz do Iguaçu","Quarto Duplo
1 cama de casal
Café da manhã incluído
Cancelamento grátis
Não requer pré-pagamento – pague na acomodação","Com nota 8,8
8,8
Fabuloso
5.245 avaliações",R$ 320
Hotel Trevita Foz,Foz do Iguaçu,"Quarto Duplo
1 cama de casal
Café da manhã incluído
Restam 7 quartos por esse preço no nosso site","Com nota 8,2
8,2
Muito bom
3.507 avaliações",R$ 231
Lider Palace Hotel,Foz do Iguaçu,"Quarto com 2 Camas de Solteiro
2 camas de solteiro
Café da manhã incluído
Não requer pré-pagamento – pague na acomodação
Restam 5 quartos por esse preço no nosso site","Com nota 7,7
7,7
Bom
1.405 avaliações",R$ 208
JL Hotel by Bourbon,Foz do Iguaçu,"Quarto Superior com 2 Camas de Solteiro
2 camas de solteiro
Café da manhã incluído
Cancelamento grátis
Não requer pré-pagamento – pague na acomodação","Com nota 9,1
9,1
Fantástico
5.066 avaliações",R$ 804
Viale Cataratas Hotel & Eventos,Foz do Iguaçu,"Quarto Deluxe com 1 cama de casal
1 cama de casal
Café da manhã incluído","Com nota 8,7
8,7
Fabuloso
3.723 avaliações",R$ 802
Del Rey Quality Hotel,"Centro de Foz do Iguaçu, Foz do Iguaçu","Quarto com 2 Camas de Solteiro
2 camas de solteiro
Café da manhã incluído","Com nota 8,9
8,9
Fabuloso
1.650 avaliações",R$ 486
Hotel Vivere Cataratas,Foz do Iguaçu,"Quarto Duplo
Camas: 1 de casal ou 2 de solteiro
Café da manhã incluído
Restam 6 quartos por esse preço no nosso site","Com nota 7,9
7,9
Bom
2.121 avaliações",R$ 200
Hotel Lawrence,"Centro de Foz do Iguaçu, Foz do Iguaçu","Quarto Duplo
1 cama de casal
Café da manhã incluído
Restam 2 quartos por esse preço no nosso site","Com nota 7,9
7,9
Bom
1.155 avaliações",R$ 200
Smart Cataratas Hotel,"Centro de Foz do Iguaçu, Foz do Iguaçu","Quarto Duplo Deluxe
1 cama de casal
Café da manhã incluído
Não requer pré-pagamento – pague na acomodação
Restam 7 quartos por esse preço no nosso site","Com nota 8,0
8,0
Muito bom
1.369 avaliações",R$ 209
Viale Iguassu Hotel,Foz do Iguaçu,"Quarto Standard com 2 Camas de Solteiro
2 camas de solteiro","Com nota 8,6
8,6
Fabuloso
1.942 avaliações",R$ 338
SJ Tour - San Juan Foz do Iguaçu,"Centro de Foz do Iguaçu, Foz do Iguaçu","Quarto Duplo Executivo
1 cama de casal
Café da manhã incluído
Restam 2 quartos por esse preço no nosso site","Com nota 8,8
8,8
Fabuloso
2.053 avaliações",R$ 379
Grand Carimã Resort & Convention Center,Foz do Iguaçu,"Apartamento Duplo Deluxe
Apartamento inteiro • 1 quarto • 1 banheiro • 25 m²
1 cama de casal
Café da manhã incluído","Com nota 8,7
8,7
Fabuloso
2.263 avaliações",R$ 861
